Date,BusinessUnit,Revenue,COGS,MarketingExpense,PayrollExpense,OtherOpex,OperatingExpenses,TotalExpenses,OperatingProfit,AccountsReceivable,AccountsPayable,Inventory,CashAndEquivalents,TotalDebt,NetCashFlow,BudgetRevenue,BudgetExpenses
2021-11-01,Cloud Services,808587.43,375043.14,82297.35,169552.23,60268.09,312117.67,687160.81,121426.62,590311.09,247115.11,0.0,3253614.76,900000,36329.46,794351.07,595763.3
2021-12-01,Cloud Services,822406.23,374719.02,81770.13,163723.12,52190.56,297683.81,672402.83,150003.4,624523.8,234068.37,0.0,3377496.52,900000,123881.77,855194.98,641396.24
2022-01-01,Cloud Services,962575.55,432734.72,99313.45,172898.11,59095.95,331307.5,764042.23,198533.33,881558.85,282929.04,0.0,3597358.75,900000,219862.22,917384.76,688038.57
2022-02-01,Cloud Services,933310.67,403102.31,101738.91,166493.32,61606.04,329838.27,732940.58,200370.09,795158.54,283371.51,0.0,3803828.71,900000,206469.96,966863.07,725147.3
2022-03-01,Cloud Services,1015317.27,425903.85,128287.09,173167.14,52601.58,354055.81,779959.67,235357.61,947909.35,264198.61,0.0,3928635.5,900000,124806.79,992715.27,744536.46
2022-04-01,Cloud Services,964345.59,409444.94,115867.37,170611.48,63815.41,350294.27,759739.2,204606.39,750093.97,275174.33,0.0,4171618.85,900000,242983.35,990207.01,742655.26
2022-05-01,Cloud Services,933857.19,387076.29,106511.92,174140.06,51775.98,332427.96,719504.25,214352.94,776306.94,267782.96,0.0,4276577.67,900000,104958.81,962218.21,721663.66
2022-06-01,Cloud Services,957157.95,424995.48,78650.27,175847.19,66038.67,320536.13,745531.61,211626.34,897671.38,284883.97,0.0,4477121.52,900000,200543.86,918646.07,688984.55
2022-07-01,Cloud Services,855485.73,384009.13,86020.31,175351.64,64328.97,325700.92,709710.05,145775.68,791329.25,238348.43,0.0,4522981.2,900000,45859.68,873889.63,655417.22
2022-08-01,Cloud Services,863359.01,374610.66,97885.48,176935.85,45642.39,320463.72,695074.38,168284.62,739004.95,239883.26,0.0,4715042.8,900000,192061.6,843052.36,632289.27
2022-09-01,Cloud Services,853792.4,356321.02,72389.41,181144.64,43295.09,296829.14,653150.16,200642.24,734682.28,239240.64,0.0,4923559.97,900000,208517.17,837861.87,628396.41
2022-10-01,Cloud Services,901211.13,396299.8,116607.06,176142.61,48749.39,341499.05,737798.85,163412.28,787465.79,250011.18,0.0,5023333.69,900000,99773.73,863407.02,647555.27
2022-11-01,Cloud Services,932243.28,393344.07,78281.37,187388.36,49007.79,314677.53,708021.6,224221.69,860971.16,231433.21,0.0,5214741.6,900000,191407.9,916597.43,687448.07
2022-12-01,Cloud Services,969440.16,428031.86,80832.53,183224.59,71748.94,335806.06,763837.92,205602.25,735250.58,281645.98,0.0,5447373.69,900000,232632.09,986804.89,740103.67
2023-01-01,Cloud Services,995250.36,424613.77,112935.39,186262.85,79445.04,378643.28,803257.05,191993.32,861349.18,280906.08,0.0,5659789.24,900000,212415.55,1058565.34,793924.01
2023-02-01,Cloud Services,1118885.7,533272.14,99318.05,184431.03,79105.38,362854.47,896126.61,222759.1,839425.45,350448.07,0.0,5765423.71,900000,105634.47,1115658.09,836743.57
2023-03-01,Cloud Services,1120212.58,507672.43,134170.66,191524.58,87169.72,412864.96,920537.39,199675.19,849861.06,319764.17,0.0,5786225.7,900000,20801.98,1145488.82,859116.61
2023-04-01,Cloud Services,1145096.71,535175.45,121435.1,191508.81,78676.81,391620.73,926796.18,218300.53,827081.72,375186.93,0.0,5839850.75,900000,53625.06,1142594.54,856945.91
2023-05-01,Cloud Services,1133884.78,456834.05,107896.41,193400.7,65644.42,366941.53,823775.58,310109.2,895807.64,259266.36,0.0,6206303.92,900000,366453.17,1110298.42,832723.82
2023-06-01,Cloud Services,1033050.69,450178.91,113666.27,187099.36,67634.22,368399.86,818578.76,214471.93,960580.11,292342.89,0.0,6448122.27,900000,241818.35,1060020.76,795015.57
2023-07-01,Cloud Services,1010851.99,435121.1,125243.26,192987.44,76866.9,395097.61,830218.71,180633.28,911264.22,308068.39,0.0,6611669.61,900000,163547.35,1008376.55,756282.41
2023-08-01,Cloud Services,938125.77,427406.43,91284.32,193616.71,74363.64,359264.67,786671.1,151454.68,807016.15,305380.23,0.0,6624219.21,900000,12549.6,972793.59,729595.19
2023-09-01,Cloud Services,966078.43,433286.4,114229.59,198530.72,53371.16,366131.46,799417.87,166660.56,797634.46,272854.57,0.0,6710119.51,900000,85900.3,966804.31,725103.23
2023-10-01,Cloud Services,1011456.8,439578.95,96685.97,197651.15,65931.06,360268.18,799847.13,211609.67,819156.53,251058.02,0.0,6953709.37,900000,243589.86,996280.72,747210.54
2023-11-01,Cloud Services,1106227.12,455944.77,91891.5,202567.39,81222.35,375681.23,831626.0,274601.12,901519.91,256073.52,0.0,7358440.87,900000,404731.5,1057656.85,793242.64
2023-12-01,Cloud Services,1119414.57,458636.23,106527.7,199110.47,59364.09,365002.26,823638.49,295776.08,977294.07,257963.78,0.0,7559581.84,900000,201140.97,1138668.86,854001.65
2024-01-01,Cloud Services,1237484.1,525312.36,137601.79,205357.67,81440.37,424399.83,949712.19,287771.92,998056.73,302654.55,0.0,7912059.19,900000,352477.35,1221472.86,916104.65
2024-02-01,Cloud Services,1267767.09,549108.44,153877.63,199725.47,91289.92,444893.02,994001.46,273765.63,1131261.82,303221.11,0.0,8128808.65,900000,216749.46,1287351.88,965513.91
2024-03-01,Cloud Services,1300113.05,575722.31,117998.38,205877.32,65478.4,389354.11,965076.42,335036.63,988476.42,429013.73,0.0,8434844.01,900000,306035.37,1321773.39,991330.04
2024-04-01,Cloud Services,1279113.81,567717.73,131389.12,206082.95,96356.55,433828.62,1001546.35,277567.46,926744.36,367681.38,0.0,8610308.2,900000,175464.19,1318433.7,988825.27
2024-05-01,Cloud Services,1274520.19,548134.25,127100.01,212795.35,81293.24,421188.6,969322.86,305197.34,1142293.99,399270.27,0.0,8950363.95,900000,340055.75,1281167.38,960875.53
2024-06-01,Cloud Services,1265069.43,550315.64,117314.36,205792.91,95166.3,418273.57,968589.21,296480.22,897701.6,401924.35,0.0,9178124.91,900000,227760.96,1223152.25,917364.19
2024-07-01,Cloud Services,1189464.46,536369.46,131669.77,211559.18,61851.63,405080.57,941450.03,248014.42,986782.1,311112.42,0.0,9444960.22,900000,266835.31,1163560.27,872670.21
2024-08-01,Cloud Services,1114790.29,453478.14,129110.74,212448.19,58150.28,399709.21,853187.35,261602.93,800212.28,250511.16,0.0,9743538.12,900000,298577.9,1122501.3,841875.97
2024-09-01,Cloud Services,1070505.07,458150.75,127103.93,210790.9,74765.27,412660.1,870810.86,199694.21,798916.75,267936.58,0.0,9804554.45,900000,61016.33,1115590.3,836692.72
2024-10-01,Cloud Services,1122643.2,450938.38,94423.93,217883.2,88729.0,401036.14,851974.51,270668.68,868770.0,317390.55,0.0,10083468.54,900000,278914.09,1149602.97,862202.23
2024-11-01,Cloud Services,1208610.36,542909.03,143500.35,216041.69,83777.4,443319.43,986228.46,222381.9,1006259.41,303155.1,0.0,10339129.64,900000,255661.1,1220424.55,915318.41
2024-12-01,Cloud Services,1371280.17,630577.5,165360.6,223752.92,95570.49,484684.01,1115261.51,256018.65,1003809.91,389478.4,0.0,10717939.19,900000,378809.55,1313903.88,985427.91
